Date,Number of Bills,Month
07-12-2021,21,December
08-12-2021,29,December
09-12-2021,22,December
10-12-2021,22,December
11-12-2021,15,December
12-12-2021,1,December
13-12-2021,20,December
14-12-2021,22,December
15-12-2021,20,December
16-12-2021,25,December
17-12-2021,26,December
18-12-2021,16,December
19-12-2021,1,December
20-12-2021,18,December
21-12-2021,24,December
22-12-2021,19,December
23-12-2021,22,December
24-12-2021,20,December
25-12-2021,19,December
27-12-2021,4,December
28-12-2021,20,December
29-12-2021,20,December
30-12-2021,23,December
31-12-2021,17,December
01-01-2022,18,January
02-01-2022,1,January
03-01-2022,22,January
04-01-2022,25,January
05-01-2022,21,January
06-01-2022,23,January
07-01-2022,18,January
08-01-2022,19,January
09-01-2022,3,January
10-01-2022,27,January
11-01-2022,25,January
12-01-2022,18,January
13-01-2022,20,January
14-01-2022,22,January
15-01-2022,19,January
16-01-2022,1,January
17-01-2022,18,January
18-01-2022,20,January
19-01-2022,20,January
20-01-2022,14,January
21-01-2022,19,January
22-01-2022,22,January
23-01-2022,3,January
24-01-2022,20,January
25-01-2022,20,January
26-01-2022,12,January
27-01-2022,22,January
28-01-2022,27,January
29-01-2022,19,January
30-01-2022,1,January
31-01-2022,25,January
01-02-2022,19,February
02-02-2022,21,February
03-02-2022,21,February
04-02-2022,11,February
05-02-2022,10,February
06-02-2022,2,February
07-02-2022,17,February
08-02-2022,26,February
09-02-2022,24,February
10-02-2022,24,February
11-02-2022,28,February
12-02-2022,17,February
13-02-2022,2,February
14-02-2022,15,February
15-02-2022,20,February
16-02-2022,20,February
17-02-2022,13,February
18-02-2022,16,February
19-02-2022,18,February
20-02-2022,2,February
21-02-2022,20,February
22-02-2022,23,February
23-02-2022,27,February
24-02-2022,17,February
25-02-2022,20,February
26-02-2022,13,February
27-02-2022,1,February
28-02-2022,20,February
01-03-2022,16,March
02-03-2022,23,March
03-03-2022,27,March
04-03-2022,20,March
05-03-2022,17,March
06-03-2022,2,March
07-03-2022,18,March
08-03-2022,27,March
09-03-2022,20,March
10-03-2022,17,March
11-03-2022,19,March
12-03-2022,20,March
14-03-2022,23,March
15-03-2022,25,March
16-03-2022,22,March
17-03-2022,19,March
18-03-2022,1,March
19-03-2022,9,March
20-03-2022,4,March
21-03-2022,16,March
22-03-2022,16,March
23-03-2022,20,March
24-03-2022,14,March
25-03-2022,18,March
26-03-2022,14,March
27-03-2022,2,March
28-03-2022,6,March
29-03-2022,10,March
30-03-2022,8,March
