Item Name,MRP,Purchase Rate,Quantity,Expiry Date,Batch Number,Discount %,Discount Value,GST %,GST Value,Amount,Billing Date
OLSERTAIN 20MG TAB 15 S,89,63.57,2,10-03-2022,G20OSA023,4,5.09,12,122.05,136.69,01-Apr-21
OLSERTAIN H 40MG 15 S,181.5,129.64,1,10-09-2022,G20OHC010,4,5.19,12,124.45,139.39,01-Apr-21
ONA 0.5MG 10 S,34.72,24.8,2,10-01-2024,OM-7480,4,1.98,12,47.62,53.34,01-Apr-21
OTOCIL EAR DROP 10ML,108,77.14,1,11-02-2021,EPE20J11,4,3.09,12,74.05,82.93,01-Apr-21
PANTOCID - IT CAP 10 SF,265,189.29,4,10-05-2022,EMX2702A,4,30.29,12,726.87,814.09,01-Apr-21
EUMOSONE CREAM 15GM,83.45,59.61,1,10-04-2022,300443200,4,2.38,12,57.23,64.09,01-Apr-21
FAMTAC 40MG TAB 14 S,26.48,18.91,10.5,10-08-2022,GEF0134,4,7.94,12,190.62,213.5,01-Apr-21
FELIZ-S-5mg TAB 10 Sby,50.95,36.39,2,10-08-2022,2283G004,4,2.91,12,69.87,78.25,01-Apr-21
FORMOSONE 250 INHELAR,625,446.43,1,10-08-2021,I903222,4,17.86,12,428.57,479.99,01-Apr-21
FURIC-40 TAB,192.75,137.68,1,10-02-2023,J001472,4,5.51,12,132.17,148.03,01-Apr-21
GEMINOR M4 FORTE 15 S,174.9,124.93,1,01-10-2022,KGF2005A,4,5,12,119.93,134.33,01-Apr-21
GLADOR 1 TAB,59.27,42.34,1,10-05-2022,J001019,4,1.69,12,40.65,45.53,01-Apr-21
GOSPAS TAB,29,20.71,1,10-04-2022,PPQBI07,4,0.83,12,19.88,22.26,01-Apr-21
GP-1 TAB 10 S,40.1,28.64,1,11-01-2022,48014940,4,1.15,12,27.49,30.79,01-Apr-21
HAPPI-20MG TAB 10 SF,225,160.71,1,11-02-2022,I100527,4,6.43,12,154.28,172.8,01-Apr-21
HAPPYNAP CREAM 20GM,111.1,79.36,1,10-03-2022,HNP2010,4,3.17,12,76.19,85.33,01-Apr-21
HIFENAC-D TAB 10 SA,106,75.71,1,11-01-2022,K2I00003,4,3.03,12,72.68,81.4,01-Apr-21
HIORA- K PASTE 50GM,60,39.16,1,,592000799,4,1.57,18,37.59,44.35,01-Apr-21
HOPACE-5MG TAB 15 SF,257.72,184.09,1,10-07-2022,HOCS0029,4,7.36,12,176.73,197.93,01-Apr-21
HYDROEYES E/D 0.05%,144.3,109.94,1,10-01-2022,004H20PB,4,4.4,5,105.54,110.82,01-Apr-21
HYLA PF EYE DROP 10ML,597,426.43,1,10-06-2022,KH0069,4,17.06,12,409.37,458.49,01-Apr-21
KENACORT 40MG INJ 1ML,136.4,97.43,1,10-02-2023,NPE0118,4,3.9,12,93.53,104.75,01-Apr-21
LAVETA-M TAB 10 SA,168.6,120.43,1,01-10-2022,2008001401,4,4.82,12,115.61,129.49,01-Apr-21
LIMCEE TAB 15 S,22.93,16.38,5,10-03-2022,HAJA01276,4,3.28,12,78.62,88.06,01-Apr-21
LOFTAIR INHALER 110/50M 1 S,750,535.71,1,10-05-2022,U100288,4,21.43,12,514.28,576,01-Apr-21
PRACTIN TAB 10 S,30.7,21.93,18,10-04-2023,JV10321,4,15.79,12,378.95,424.43,01-Apr-21
RANTAC SYP 100ML,81.01,57.87,1,10-06-2022,XRS21006,4,2.31,12,55.56,62.22,01-Apr-21
REJOINT TAB,453.75,324.11,1,10-09-2022,GEF0149,4,12.96,12,311.15,348.49,01-Apr-21
REVIDOX-LB TAB,75.9,54.22,4.5,10-04-2022,SGT0606,4,9.76,12,234.23,262.33,01-Apr-21
REVLAMER-400 TAB,93,66.43,3,10-09-2022,BSX1533,4,7.97,12,191.32,214.28,01-Apr-21
RICONIA-G TAB 10 S,108,73.22,1,10-03-2022,GPX0053,4,2.93,18,70.29,82.95,01-Apr-21
RIFAXIGYL-M TAB 10 S,178,127.14,1,10-04-2022,LE0006,4,5.09,12,122.05,136.69,01-Apr-21
RIOMET OD 850MG 10 S,36,25.71,1,10-08-2022,AB88399,4,1.03,12,24.68,27.64,01-Apr-21
RISP 0.5 TAB,26.4,18.86,2,10-06-2022,OM-6668,4,1.51,12,36.21,40.55,01-Apr-21
RIZACT 10 TAB 4 S,278.34,198.81,1,10-01-2023,BA02521,4,7.95,12,190.86,213.76,01-Apr-21
ROSEDAY-5 TAB 10 SF,62.5,44.64,1,10-06-2022,48014966,4,1.79,12,42.85,47.99,01-Apr-21
SAFEDICLO CAP 10 SF,123.42,88.16,1,10-08-2022,LAF0027,4,3.53,12,84.63,94.79,01-Apr-21
SERLIFT-50MG TAB 10 SBN,95.16,67.97,3,10-09-2022,GSRB20007,4,8.16,12,195.75,219.25,01-Apr-21
SIBELIUM-5 TAB,92.2,70.97,1,10-04-2023,N224,4,2.84,12,68.13,76.31,01-Apr-21
SILODERM CREAM 20GM,83.5,59.64,2,10-06-2023,SC0012,4,4.77,12,114.51,128.25,01-Apr-21
SOCRIL CAP 10 S,140,94.92,1,01-10-2022,RPB0195A,4,3.8,18,91.12,107.52,01-Apr-21
SONAXA 50MG CAP,134.82,96.3,1,10-04-2023,GSNA20009,4,3.85,12,92.45,103.55,01-Apr-21
SOTRET NF 24 TAB,365,260.71,1,01-10-2022,AC04316A,4,10.43,12,250.28,280.32,01-Apr-21
SPECTRA 10MG CAP 10 S,62.37,44.55,1,11-01-2022,GSPA20007,4,1.78,12,42.77,47.91,01-Apr-21
STABLANZ TAB 10 SA,157.4,112.43,2,10-06-2022,2011702,4,8.99,12,215.87,241.77,01-Apr-21
SUFRATE TP OINT 15GM,115,82.14,1,10-06-2022,TP2005,4,3.29,12,78.85,88.31,01-Apr-21
SUVIDA 28 S,38,32.25,10,10-06-2023,SU20071,4,12.9,0,309.6,309.6,01-Apr-21
ALTHROCIN 250MG TAB 10 S,43.1,30.78,2,01-10-2022,2008001440,4,2.46,12,59.1,66.2,01-Apr-21
ARGITAS SACHET 10GM,49,35,5,10-08-2022,22SAR207,4,7,12,168,188.16,01-Apr-21
ASCAZIN TAB 10 S,65.2,46.57,1,10-07-2023,AZT20018,4,1.86,12,44.71,50.07,01-Apr-21
BABYGESIC DROP 15 ML,19.85,14.89,1,10-08-2022,099P2012,4,0.6,12,14.29,16.01,01-Apr-21
CALCIMAX OP+ 500MG TAB 15 S,298,212.86,1,10-02-2022,567PE2008,4,8.51,12,204.35,228.87,01-Apr-21
BILASURE-M TAB,158,112.86,1,01-10-2022,PDX0037,4,4.51,12,108.35,121.35,01-Apr-21
CARDIVAS IN 3.125 + 5 TAB,196,140,1,11-02-2022,SIC0146A,4,5.6,12,134.4,150.52,01-Apr-21
CEPODEM-DS-50mg SYP 30ML,84,60,1,10-08-2022,NBX0114,4,2.4,12,57.6,64.52,01-Apr-21
CILACAR T 20/40 TAB,147.15,105.11,1,01-10-2022,X2420003,4,4.2,12,100.91,113.01,01-Apr-21
CLINDAC A MIST SPRAY,429,326.86,1,10-05-2022,CIG7200031,4,13.07,5,313.79,329.47,01-Apr-21
COFSTOP CDX SYP 100ML,57.7,41.22,1,10-02-2022,CSX20003,4,1.65,12,39.57,44.31,01-Apr-21
CORMUZIK CREAM 10GM,245.5,175.36,1,01-10-2021,EC9336004,4,7.01,12,168.35,188.55,01-Apr-21
CRIXAN GRANULE 30 S,144.46,103.19,1,11-01-2022,DFB0670A,4,4.13,12,99.06,110.94,01-Apr-21
DIANE 35 TAB 21 SBOX,371,278.25,1,10-06-2025,KT07T10,4,11.13,12,267.12,299.18,01-Apr-21
DICAL-D TAB,125,84.75,1,11-01-2022,RPB0633A,4,3.39,18,81.36,96,01-Apr-21
DILNIP 10 TAB 10 SF,114.6,81.86,1,11-01-2022,DNL201215,4,3.27,12,78.59,88.03,01-Apr-21
DOLOPAR DROP 15ML,27.05,19.32,1,10-04-2022,HFCR0004,4,0.77,12,18.55,20.77,01-Apr-21
DYTOR PLUS LS TAB,51.72,36.94,2,10-09-2022,SB01222,4,2.96,12,70.92,79.44,01-Apr-21
ECOSPRIN-GOLD 20 TAB 15 S,133.09,99.82,1,10-05-2022,APK20107,4,3.99,12,95.83,107.33,01-Apr-21
ENCARMIN SYP 200ML,140,94.92,1,10-04-2022,LEC20014,4,3.8,18,91.12,107.52,01-Apr-21
ENZOFLAM TAB 10 SBB,132,94.29,1,11-01-2022,20442889,4,3.77,12,90.52,101.38,01-Apr-21
ERITEL H TAB 15 S,212.57,151.84,2,10-09-2022,GERH20010,4,12.15,12,291.53,326.51,01-Apr-21
ROXYLAC 150 TAB,85,61.03,5,10-07-2022,TAU028,2,6.1,12,299.05,334.93,01-Apr-21
LOMELA CREAM 15GM,200,142.86,1,01-10-2022,Z024,4,5.71,12,137.15,153.61,01-Apr-21
LETHYROX-75 TAB 100 S,144.48,103.2,1,10-06-2022,D2001031,4,4.13,12,99.07,110.95,01-Apr-21
TGLIP M 500 TAB,294,210,1,10-08-2022,N2002545,4,8.4,12,201.6,225.8,01-Apr-21
MOXBRO 500MG CAPS 10,126.8,90.57,1,10-04-2022,UM02003,4,3.62,12,86.95,97.39,01-Apr-21
VOLIX R 0.2/0.5 TAB,128,91.43,1,10-09-2022,ZHX0025,4,3.66,12,87.77,98.31,01-Apr-21
RANTAC RD CAP,39,27.86,2,11-01-2022,XRE20003,4,2.23,12,53.49,59.91,01-Apr-21
RANTAC R TAB,25,17.86,1,10-05-2022,XRR20002,4,0.71,12,17.15,19.21,01-Apr-21
ACTILIFE LIQUID 200ML,124,84.06,1,01-10-2021,ALG20003,4,3.36,18,80.7,95.22,01-Apr-21
PROXYM ER 300 TAB 10 S,284.4,203.14,1,10-02-2023,E16GT20011,4,8.13,12,195.01,218.41,01-Apr-21
LIV 52 SYP 200ML,135,92.81,1,11-02-2023,252100066,4,3.71,12,89.1,99.8,01-Apr-21
SALAZAR-DS 10TAB,143.9,102.79,1,10-07-2022,BEW1325,4,4.11,12,98.68,110.52,01-Apr-21
MOMOZ T CREAM 10GM,168.3,120.21,1,10-06-2022,CAN002,4,4.81,12,115.4,129.24,01-Apr-21
TELLZY 80AM TAB,366.9,262.07,1,01-10-2022,2008001450,4,10.48,12,251.59,281.79,01-Apr-21
FOLCURE-5 TAB 10 S,129,92.14,2,10-04-2022,20DSGT553,4,7.37,12,176.91,198.13,01-Apr-21
CILACAR T 80 TAB 10 S,168.07,120.06,1,10-01-2023,KBT21001,4,4.8,12,115.26,129.1,01-Apr-21
DEPURA 60K SF 5ML,345.44,246.74,1,11-01-2022,S62055,4,9.87,12,236.87,265.29,01-Apr-21
SIMCON TAB 15,179.5,128.22,1,11-01-2022,LSMT20022S,4,5.13,12,123.09,137.87,01-Apr-21
TELMED CT40 10 S,113,80.71,1,01-10-2022,2007910,4,3.23,12,77.48,86.78,01-Apr-21
ELOCON CREAM (L) 10GM,230,164.29,1,10-04-2022,A210520,4,6.57,12,157.72,176.64,01-Apr-21
CILACAR-T TAB 10 SBOX,129.38,92.42,2,11-02-2022,YWT21005,4,7.39,12,177.45,198.75,01-Apr-21
STATOR ASP 75 TAB,60.42,43.16,2,10-01-2023,ADG0015,4,3.45,12,82.87,92.81,01-Apr-21
THIOSPAS A8 CAP,309.98,221.41,1,10-08-2022,ADF0259,4,8.86,12,212.55,238.05,01-Apr-21
LUMENAC 10 SBOX,263.2,188,1,01-10-2022,EP0017,4,7.52,12,180.48,202.14,01-Apr-21
ROSEDAY-5 TAB 10 SF,62.5,44.64,2,10-06-2022,48014966,4,3.57,12,85.71,95.99,01-Apr-21
PNZ 40MG TAB 15 S,130,92.86,1,10-08-2022,PATE20007C,4,3.71,12,89.15,99.85,01-Apr-21
RIOMET TRIO 2 10 SB,140,100,2,10-05-2022,AB59629,4,8,12,192,215.04,01-Apr-21
TAZLOC-H TAB 10 SF,128.8,92,7,11-01-2022,48014803,4,25.76,12,618.24,692.42,01-Apr-21
TRAZINE S TAB 10 S,18.5,13.21,1,10-08-2024,CGX0099,4,0.53,12,12.68,14.2,01-Apr-21
TRAZINE S TAB 10 S,20,14.29,9,01-10-2024,CGX0122,4,5.14,12,123.47,138.29,01-Apr-21
MEXATE 2.5 MG TAB,20.02,15.25,2,10-04-2022,BVW111,4,1.22,5,29.28,30.74,01-Apr-21
NUCOXIA-90 TAB,237.9,169.93,1,01-10-2022,1004481,4,6.8,12,163.13,182.71,01-Apr-21
NATRILIX-SR TAB 10 SA,109,77.86,2,10-08-2023,N022004,4,6.23,12,149.49,167.43,01-Apr-21
DEROBIN OINTMENT 30GM,99.82,71.3,1,01-10-2022,DB0733,4,2.85,12,68.45,76.67,01-Apr-21
MET XL AM 50/5 TAB,230,164.29,1,10-08-2022,KB00101,2,3.29,12,161,180.32,01-Apr-21
DERIPHYLLIN RTD 150 30 BW,27.8,19.86,3,01-10-2023,1004368,2,1.19,12,58.39,65.39,01-Apr-21
M2 TONE SYP 450ML,197,140.71,1,01-10-2023,SMT802,2,2.81,12,137.9,154.44,01-Apr-21
NUHENZ TAB,245,175,1,10-04-2022,C6122026,2,3.5,12,171.5,192.08,01-Apr-21
MACZORB TAB 10 SBF,92,65.71,1,10-04-2023,KMX2002A,2,1.31,12,64.4,72.12,01-Apr-21
STAFCURE-250 10TAB,206.5,147.5,1,10-08-2022,LOB2007B,2,2.95,12,144.55,161.89,01-Apr-21
NANOFAST GEL 30GM,123,87.86,1,10-09-2022,NN20032,2,1.76,12,86.1,96.44,01-Apr-21
DEFZA-12 TAB,122.1,87.22,1,11-02-2021,20SIGTA05,2,1.74,12,85.48,95.74,01-Apr-21
IBUGESIC PLUS SYP 60ML,32.6,23.29,1,01-10-2023,SE00654,2,0.47,12,22.82,25.56,01-Apr-21
EMANZEN FORTE TAB 10 S,140.95,100.68,1,11-02-2021,E16CL19001,2,2.01,12,98.67,110.51,01-Apr-21
GRILINCTUS SYP 100ML,114.99,82.14,5,11-01-2022,K20131,2,8.21,12,402.49,450.79,01-Apr-21
ADVASTAT-10 TAB 10 S,115,82.14,1,10-09-2022,TF20088,2,1.64,12,80.5,90.16,01-Apr-21
PREGALEO- NT TAB,179,127.86,1,10-02-2022,TF20026,2,2.56,12,125.3,140.34,01-Apr-21
PACIMOL ACTIVE TAB,31.85,22.74,2,10-08-2022,IPL010047AZ,2,0.91,12,44.57,49.91,01-Apr-21
TERBITOTAL TAB 7 S,79.75,56.97,2,01-10-2022,KTE2004A,2,2.28,12,111.66,125.06,01-Apr-21
BISOHEART 5 MG TAB 10 S,79.64,56.89,1,11-01-2022,G6ABT014,2,1.14,12,55.75,62.45,01-Apr-21
TELMIKIND-H 80 TAB 10 S,102.85,73.46,2,11-01-2022,G6FZT005,2,2.94,12,143.98,161.26,01-Apr-21
ROSUVAS 5MG TAB 15 S,155,110.71,2,10-06-2023,SIC0265A,2,4.43,12,216.99,243.03,01-Apr-21
B-COUGH 100ML SYP,105,77,2,11-01-2023,5301,2,3.08,12,150.92,169.04,01-Apr-21
SNORAB-DSR CAP 15 S CAP,135,96.43,1,01-10-2022,SLC201101,2,1.93,12,94.5,105.84,01-Apr-21
HERPEX OINT 5 GM,82.14,58.68,1,10-06-2022,VG10,2,1.17,12,57.51,64.41,01-Apr-21
VELOZ-IT CAP 10 S,222.75,159.11,1,11-02-2021,VT200710,2,3.18,12,155.93,174.65,01-Apr-21
ATORVA 40MG TAB 10 SF,215.43,153.88,1,11-01-2022,BRW1398,5,7.69,12,146.19,163.73,01-Apr-21
BENFOMET FORTE TAB 10 S,240,171.43,1,10-05-2022,GKB0018A,5,8.57,12,162.86,182.4,01-Apr-21
BETACAP PLUS 10 10 SF,140,100,1,10-04-2022,GKB0074A,5,5,12,95,106.4,01-Apr-21
CABGOLIN 0.25 TAB,188,134.29,2,11-02-2022,GKB0141A,5,13.43,12,255.15,285.77,01-Apr-21
CETAPIN XR 500 TAB,42.59,30.42,2,10-09-2022,ONG417,5,3.04,12,57.8,64.74,01-Apr-21
CLOPILET TAB 15 SF,116.24,83.03,1,10-08-2022,ESX1660,5,4.15,12,78.88,88.34,01-Apr-21
DROTIN TAB,97.75,69.82,1,10-02-2022,TDR-611,5,3.49,12,66.33,74.29,01-Apr-21
DUOLIN CFC FREE INHALER 200MD,310.12,221.51,1,01-10-2022,GB10145,5,11.08,12,210.43,235.69,01-Apr-21
DUOLIN ROTACAPS 30 S,85.34,60.96,1,10-09-2022,BA02984,5,3.05,12,57.91,64.85,01-Apr-21
ECONORM SACHETS 1 S,48,34.29,9,10-01-2023,3702,5,15.43,12,293.18,328.36,01-Apr-21
ENZOMAC PLUS 10 SBOX,233.2,166.57,1,10-07-2022,KEH2002A,5,8.33,12,158.24,177.22,01-Apr-21
FORACORT 400 INHALER,408.05,291.47,1,01-10-2023,SN01876,5,14.57,12,276.9,310.12,01-Apr-21
GABAPIN 300 TAB,310,221.43,1,11-01-2023,N2003288,5,11.07,12,210.36,235.6,01-Apr-21
GABAPIN NT 100MG TAB 15 S,147,105,1,11-01-2022,N2003351,5,5.25,12,99.75,111.73,01-Apr-21
HUMAN ACTRAPID 40IU 10ML,157.57,126.06,1,10-02-2023,B-70559,5,6.3,5,119.76,125.74,01-Apr-21
HUMAN MIXTARD 40IU 10ML,157.57,126.06,3,10-02-2023,B-52090,5,18.91,5,359.27,377.23,01-Apr-21
MACTOR-10 TAB 10 SA,54.14,38.67,1,10-08-2023,KAJ20078,5,1.93,12,36.74,41.14,01-Apr-21
METOSARTAN-25 TAB 10 SF,155.5,111.07,1,10-09-2022,RPB0431A,5,5.55,12,105.52,118.18,01-Apr-21
MILFLODEX DROP 5ML,162,115.72,1,10-09-2022,FHX0656,5,5.79,12,109.93,123.13,01-Apr-21
NEXPRO-40 TAB 15 SA,150.1,107.21,1,10-05-2022,2F25G026,5,5.36,12,101.85,114.07,01-Apr-21
PANTOCID-80 TAB,178,127.14,1,10-01-2022,BSX0230,5,6.36,12,120.78,135.28,01-Apr-21
PRAZOPRESS XL 2.5 TAB,288,205.71,1,10-07-2022,ESX1474,5,10.29,12,195.42,218.88,01-Apr-21
REFRESH LIQUIGEL 10ML,194.14,149.43,1,10-04-2022,89688,5,7.47,12,141.96,159,01-Apr-21
REJUNEX CD3 TAB 10 SA,215,145.76,1,10-06-2022,K2100190,5,7.29,18,138.47,163.39,01-Apr-21
ROSUVAS F-10 TAB,337,240.71,2,10-05-2023,RPB353A,5,24.07,12,457.35,512.23,01-Apr-21
ROZAT-10 TAB,154,110,1,10-08-2022,RZA200912,5,5.5,12,104.5,117.04,01-Apr-21
SALBAIR- I TRANSHALER,344.7,246.21,1,11-01-2022,A20040MP,5,12.31,12,233.9,261.96,01-Apr-21
STROCIT PLUS 10 S,710,507.14,1,10-02-2023,GKC0284A,5,25.36,12,481.78,539.6,01-Apr-21
TAMDURA CAP 10 SF,262,187.14,2,01-10-2022,GKB0293A,5,18.71,12,355.57,398.23,01-Apr-21
MET XL TRIO 50 10S,178.5,127.5,1,01-10-2022,GT0240K,2,2.55,12,124.95,139.95,01-Apr-21
AMLODAC-10MG TAB 30 S,169.68,121.2,2,11-01-2022,1004696,2,4.85,12,237.55,266.05,01-Apr-21
GLIMISAVE MV 3.3 TAB,152.25,108.75,1,10-06-2022,EGMV0020,2,2.18,12,106.57,119.35,01-Apr-21
SETFRAC TAB,193.6,138.29,1,10-02-2023,CPAB54,2,2.77,12,135.52,151.78,01-Apr-21
LIPIKIND-10 TAB,36.9,26.37,3,10-09-2022,G7IAT006,2,1.58,12,77.53,86.83,01-Apr-21
ZUKANORM M 500 TAB,67.5,48.21,2,11-02-2022,03FZU003,2,1.93,12,94.49,105.83,01-Apr-21
NATUROLAX POWDER 300GM,299,224.25,1,01-10-2022,NYTA373,2,4.49,12,219.76,246.14,01-Apr-21
MOX CLAV 625MG 10 S,200.59,143.28,5,01-10-2022,DFB0039A,2,14.33,12,702.07,786.31,01-Apr-21
RIOMET OD 500mg TAB 15 S,31.84,22.74,2,11-02-2022,SXB0344A,2,0.91,12,44.57,49.91,01-Apr-21
ZYTEE RB GEL TUBE 10ML,104,74.29,1,01-10-2022,T20066,2,1.49,12,72.8,81.54,01-Apr-21
D-BOSE-M 0.3 TAB,71.45,51.04,1,10-08-2022,MT202161,2,1.02,12,50.02,56.02,01-Apr-21
REPACE-AF TAB 10 SF,126,90,1,10-06-2022,EMX1850,2,1.8,12,88.2,98.78,01-Apr-21
NORMAXIN- RT CAP 10 SF,54,38.57,2,01-10-2022,M201569,2,1.54,12,75.6,84.68,01-Apr-21
