Item Name,Item MRP,Quantity,Expiry Date,Discount Value,GST %,GST Value,Amount,Billing Date
ISTAVEL 50 TAB 7 S,289,1,"April, 2022",28.9,12,27.86,260.1,02-Apr-21
ECOSPRIN 75MG TAB 14 S,4.86,1,"August, 2022",0.49,12,0.46,4.37,02-Apr-21
SOFIDEW CALOE LOTION 60ML,150,1,"June, 2021",15,18,20.6,135,02-Apr-21
OMEZ 20MG CAP 20 S,55.23,1,"July, 2023",5.52,12,5.32,49.71,02-Apr-21
ETOSHINE-MR TAB 10 S BOX,230,1,"September, 2022",23,12,22.18,207,02-Apr-21
PREGALIN NT TAB 10S,171.1,2,"May, 2022",34.22,12,33,307.98,02-Apr-21
ASCORIL EXPT 120ML,115,1,"April, 2022",11.5,12,11.08,103.5,02-Apr-21
MAHACEF-200 TAB 10 SA,83.33,1,"April, 2022",8.33,12,8.04,75,02-Apr-21
NEUROBION FORTE TAB,31.61,0.667,"May, 2022",2.11,12,2.04,18.96,02-Apr-21
MONTEK LC TAB 10 SA,179.5,1,"March, 2023",17.95,12,17.3,161.55,02-Apr-21
RANTAC 150 TAB 30 S,24.64,1,"March, 2022",2.46,12,2.38,22.18,02-Apr-21
PAN-40MG TAB 15 S,138,0.333,"June, 2023",4.6,12,4.44,41.4,02-Apr-21
ASCORIL-LS SYP 100ML,98.5,1,"June, 2022",9.85,12,9.5,88.65,02-Apr-21
ZERODOL-P TAB 10 SA,54.95,0.4,"September, 2022",2.2,12,2.12,19.78,02-Apr-21
MONTEK LC TAB 10 SA,179.5,1,"March, 2023",17.95,12,17.3,161.55,02-Apr-21
ACE-PROXYVON TAB 10 SA,60,1,"August, 2022",6,12,5.78,54,02-Apr-21
ZERODOL-P TAB 10 SA,54.95,1,"September, 2022",5.5,12,5.3,49.45,02-Apr-21
RANTAC 150 TAB 30 S,24.64,1,"March, 2022",2.46,12,2.38,22.18,02-Apr-21
GLYCIPHAGE 850MG TAB 10 S,25.3,2,"August, 2023",5.06,12,4.88,45.54,02-Apr-21
NUPENTA-40 TAB 10 SA,45.65,1,"April, 2023",4.57,12,4.4,41.08,02-Apr-21
B-FIT CD TAB 10 S,180.5,3,"April, 2022",54.15,18,74.34,487.35,02-Apr-21
ROSUVAS 5MG TAB 15 S,155,2,"June, 2023",31,12,29.9,279,02-Apr-21
TAZLOC-H TAB 10 SF,128.8,7,"January, 2022",90.16,12,86.94,811.44,02-Apr-21
ASOMEX-1.25MG TAB 15 S,47.4,1,"February, 2023",4.74,12,4.58,42.66,02-Apr-21
PEPCARE SR CAP 10 S,79,0.5,"August, 2022",3.95,12,3.8,35.55,02-Apr-21
BETADINE GARGLE 50ML,128,1,"March, 2022",12.8,12,12.34,115.2,02-Apr-21
PAN-40MG TAB 15 S,138,1,"June, 2023",13.8,12,13.3,124.2,02-Apr-21
CLOP-G CREAM 25GM,29.4,1,"February, 2022",2.94,12,2.84,26.46,02-Apr-21
VOLITRA PLUS GEL 30GM,126,1,"January, 2022",12.6,12,12.16,113.4,02-Apr-21
RANTAC 150 TAB 30 S,24.64,0.333,"March, 2022",0.82,12,0.8,7.39,02-Apr-21
MYOSPAZ FORTE 10 S,256,1,"September, 2022",25.6,12,24.68,230.4,02-Apr-21
RAB 20MG TAB 10 SF,84.17,0.3,"September, 2023",2.53,12,2.44,22.72,02-Apr-21
K-STAT 250 TAB 10 S,124,0.1,"October, 2022",1.24,12,1.2,11.16,02-Apr-21
ACECLOREN TAB 10 S,110,0.6,"October, 2022",6.6,12,6.36,59.4,02-Apr-21
RABONIK- DSR CAP 15 S,164.71,0.667,"February, 2022",10.98,12,10.58,98.83,02-Apr-21
TOLDIN ER 600TABS 10 S,173.6,1,"July, 2022",17.36,12,16.74,156.24,02-Apr-21
MOX CLAV 625MG 10 S,200.59,1,"September, 2022",20.06,12,19.34,180.53,02-Apr-21
YEES-D CAPS 10 S,97.5,1,"September, 2022",9.75,12,9.4,87.75,02-Apr-21
MOX CLAV 625MG 10 S,200.59,1,"September, 2022",20.06,12,19.34,180.53,02-Apr-21
EVION-LC TAB 10 S,47.13,1,"March, 2022",4.71,12,4.54,42.42,02-Apr-21
PYRIGESIC-A TAB 10 SBO,46,1,"February, 2022",4.6,12,4.44,41.4,02-Apr-21
PEPTARD 20MG TAB 15 S##,176.25,0.667,"August, 2022",11.75,12,11.34,105.75,02-Apr-21
SHELCAL 500mg TAB 15 S,98.9,1,"June, 2022",9.89,12,9.54,89.01,02-Apr-21
SECNIL FOTRTE TAB 2,159.72,1,"May, 2022",15.97,12,15.4,143.75,02-Apr-21
VIZYLAC CAP,57.35,0.667,"January, 2021",3.82,12,3.68,34.41,02-Apr-21
MOXISURGE-D DROP 5ML,148.45,1,"October, 2022",14.85,12,14.32,133.6,02-Apr-21
FITSITE CAP,200,1,"April, 2022",20,18,27.46,180,02-Apr-21
TENGLYN M 1000 TAB 15 S,186,3,"January, 2022",55.8,12,53.8,502.2,02-Apr-21
RACIPER-40 MG TAB 15 SF,127,3,"August, 2022",38.1,12,36.74,342.9,02-Apr-21
AMARYL M FORTE 1MG TAB 15 S,182.95,2,"May, 2022",36.59,12,35.28,329.31,02-Apr-21
AZTOR 40MG TAB 15 S,323.15,2,"September, 2023",64.63,12,62.32,581.67,02-Apr-21
CLOPILET- A 75 CAP***,53.5,2,"April, 2022",10.7,12,10.32,96.3,02-Apr-21
VOLIBO 0.3 TAB 10 SA,125,2.8,"April, 2023",35,12,33.76,315,02-Apr-21
TELDAY H TAB,235.75,2,"April, 2022",47.15,12,45.46,424.35,02-Apr-21
UPRISE-D3 60K CAPS,263.72,1,"October, 2022",26.37,12,25.44,237.35,02-Apr-21
GABANEURON-100 TAB 10 SA,85,1,"September, 2023",8.5,12,8.2,76.5,02-Apr-21
EVION-400MG CAP 10 S,29.73,1,"March, 2023",2.97,12,2.86,26.76,02-Apr-21
TRIGLIMILIFE-1 TAB,179,1,"April, 2022",17.9,12,17.26,161.1,02-Apr-21
SOMPRAZ D 40 TAB,200,1,"January, 2022",20,12,19.28,180,02-Apr-21
ZOCON 150 TAB,39.37,1.333,"July, 2023",5.25,12,5.06,47.24,02-Apr-21
CINEMAX TAB,118.75,1,"October, 2022",11.88,12,11.46,106.87,02-Apr-21
MOISTUREX SYNDET BAR,163.5,1,"January, 2021",6.54,18,23.94,156.96,02-Apr-21
TELMIKIND- 40 TAB 10 S,34.67,1,"January, 2022",3.47,12,3.34,31.2,02-Apr-21
OLYMPRIX M 1000 TAB,232,1,"June, 2022",23.2,12,22.38,208.8,02-Apr-21
CONCOR-COR 2.5MG 10 S,64.54,3,"September, 2022",19.36,12,18.68,174.26,02-Apr-21
ATIVAN 2MG TAB,81.03,0.333,"September, 2021",2.7,12,2.6,24.31,02-Apr-21
E-PANTO 40 TAB,60.5,1.4,"April, 2022",0,12,9.08,84.7,02-Apr-21
STAMLO-5 TAB 30 S,87.1,1,"October, 2023",0,12,9.34,87.1,02-Apr-21
EVION-400MG CAP 10 S,29.73,1.4,"March, 2023",0,12,4.46,41.62,02-Apr-21
LYCAM-P TAB,79,1.4,"October, 2021",0,12,11.86,110.6,02-Apr-21
PENTISAN-DSR CAP,95,1,"January, 2021",0,12,10.18,95,02-Apr-21
ETOSA-P TAB,63,1,"October, 2022",0,12,6.76,63,02-Apr-21
ONASOLONE-4 TAB,55,1,"January, 2022",0,12,5.9,55,02-Apr-21
FEBUMAC-40 TAB 10 S BOX,118.8,1,"October, 2023",0,12,12.72,118.8,02-Apr-21
GLYCIPHAGE G2 TAB 10 S,92.9,2,"February, 2023",18.58,12,17.92,167.22,02-Apr-21
PROPYSALIC NF OINT 30GM,235,1,"August, 2022",23.5,12,22.66,211.5,02-Apr-21
ONASOLONE-4 TAB,55,3,"January, 2022",0,12,17.68,165,02-Apr-21
ZEST D3 NANO SHOT 5ML,65,4,"April, 2022",0,12,27.86,260,02-Apr-21
P2 I- D CAP 10 S,132.3,6,"July, 2022",0,12,85.06,793.8,02-Apr-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,02-Apr-21
SYNOCID SYP (L) 170ML,70,1,"January, 2021",0,12,7.5,70,02-Apr-21
CARTIGEN-FORTE TAB 10 BOX,409,1,"September, 2022",0,18,62.38,409,02-Apr-21
LIZOLID-600MG TAB 10 SF,326.88,1,"March, 2022",32.69,12,31.52,294.19,02-Apr-21
OPTICURE EYE DROP 10ML,72.39,1,"September, 2021",7.24,12,6.98,65.15,02-Apr-21
EVA-Q PLUS SYP 60ML,60,1,"January, 2021",6,12,5.78,54,02-Apr-21
E-PANTO 40 TAB,60.5,1.4,"April, 2022",0,12,9.08,84.7,02-Apr-21
MARLINE-E 400 SOFTGEL,95,1.4,"May, 2021",0,18,20.28,133,02-Apr-21
PHOSTEEM SYP 200ML,115,1,"May, 2021",0,12,12.32,115,02-Apr-21
ETOSA-P TAB,63,1.4,"October, 2022",0,12,9.44,88.2,02-Apr-21
ONASOLONE-4 TAB,55,0.7,"January, 2022",0,12,4.12,38.5,02-Apr-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,02-Apr-21
COECORTT-6 TAB,115,2,"January, 2022",0,12,24.64,230,02-Apr-21
FEN XN GEL 30GM,80,1,"September, 2022",0,12,8.58,80,02-Apr-21
PROTEKT CAP 10 S,50,2,"April, 2022",0,12,10.72,100,02-Apr-21
VOLITRA PLUS GEL 30GM,126,1,"January, 2022",0,12,13.5,126,02-Apr-21
